Date,ClosingPrice,Volume,Open,High,Low
10/25/2022,44.36,19165170,43.34,44.40,43.20
10/24/2022,43.54,18785260,43.12,43.73,42.90
10/21/2022,42.80,25035030,41.85,42.97,41.81
10/20/2022,41.71,16830460,41.56,42.62,41.46
10/19/2022,41.88,19071940,41.63,42.24,41.47
10/18/2022,41.79,18223320,41.92,42.22,41.26
10/17/2022,41.30,27845190,41.04,41.53,40.95
10/14/2022,40.20,19572200,40.84,40.96,39.92
10/13/2022,40.61,26328350,39.03,40.80,38.61
10/12/2022,39.27,17279920,39.70,39.86,39.25
10/11/2022,39.58,19386430,39.81,40.11,39.27
10/10/2022,39.89,16628440,40.63,40.81,39.60
10/7/2022,40.27,19055400,41.25,41.25,40.08
10/6/2022,41.52,18198830,41.65,42.09,41.37
10/5/2022,41.99,14289740,41.59,42.25,41.40
10/4/2022,41.82,22889360,41.56,42.04,41.39
10/3/2022,41.29,22203580,40.67,41.53,40.47
9/30/2022,40,27989870,40.66,41.04,39.96
9/29/2022,40.57,19496430,41.05,41.10,40.15
9/28/2022,41.34,23217710,40.85,41.57,40.59
9/27/2022,40.52,15027870,41.14,41.46,40.23
9/26/2022,40.58,22694820,40.66,41.19,40.37
9/23/2022,40.66,19067690,41.25,41.25,40.12
9/22/2022,41.15,16690990,41.34,41.55,41.14
9/21/2022,41.59,21415880,42.32,42.87,41.57
9/20/2022,42.58,16813920,43.01,43.02,42.26
9/19/2022,43.30,13667540,42.90,43.44,42.76
9/16/2022,43.30,32696100,43.11,43.58,42.79
9/15/2022,43.29,18148600,43.81,43.87,43.09
9/14/2022,43.96,27551510,44.04,44.27,43.56
9/13/2022,44.11,23028650,45.72,45.91,44.02
9/12/2022,46.40,17923010,46.11,46.73,45.97
9/9/2022,45.77,15499420,45.66,45.89,45.40
9/8/2022,45.37,14231500,44.76,45.47,44.62
9/7/2022,45.02,18297410,44.75,45.17,44.35
9/6/2022,44.47,14366070,44.66,44.79,43.98
9/2/2022,44.59,14720950,45.71,45.92,44.28
9/1/2022,45.29,16236430,44.57,45.34,44.40
8/31/2022,44.72,23006140,45.78,45.83,44.59
8/30/2022,45.24,14279070,45.75,45.87,44.96
8/29/2022,45.71,13425740,45.72,46,45.49
8/26/2022,45.89,20309830,47.08,47.27,45.88
8/25/2022,47.27,23039280,47.25,47.43,46.84
8/24/2022,47.07,14946490,47.09,47.41,46.87
8/23/2022,47.41,13596810,47.59,48.04,47.39
8/22/2022,47.71,20534050,48.47,48.50,47.52
8/19/2022,48.70,23130410,49.01,49.46,48.54
8/18/2022,49.37,39999940,49.80,50,49.11
8/17/2022,46.66,27975610,46.36,47.10,46.23
8/16/2022,46.77,21153700,46.57,47.01,46.44
8/15/2022,46.59,15456070,46.39,46.62,46.03
8/12/2022,46.61,16967590,46.09,46.61,45.97
8/11/2022,45.90,15849320,46.11,46.43,45.77
8/10/2022,46.02,18935430,45.71,46.06,45.43
8/9/2022,44.92,12826330,45.15,45.18,44.72
8/8/2022,45.02,15466670,45.49,45.52,44.86
8/5/2022,45.01,19533920,44.91,45.07,44.54
8/4/2022,45.38,15249320,45.90,45.93,45.01
8/3/2022,45.71,14943770,44.90,45.82,44.79
8/2/2022,44.92,15005410,45.52,45.70,44.90
8/1/2022,45.28,14153360,45.06,45.43,44.76
7/29/2022,45.37,23701680,45.11,45.49,44.83
7/28/2022,45.62,17576190,44.88,45.87,44.71
7/27/2022,44.64,22348960,44.19,44.79,43.83
7/26/2022,43.83,19513030,44.37,44.54,43.75
7/25/2022,44.34,12954740,44.66,44.66,44.11
7/22/2022,44.46,14854640,44.78,44.92,44.25
7/21/2022,44.58,15364580,44.29,44.69,44.07
7/20/2022,44.13,15599220,44.08,44.32,43.66
7/19/2022,44.03,22861380,42.82,44.09,42.65
7/18/2022,42.60,16743800,43.30,43.32,42.41
7/15/2022,43.07,19897840,42.50,43.13,42.50
7/14/2022,42.33,17336230,41.79,42.47,41.35
7/13/2022,42.70,16854200,41.85,43.05,41.80
7/12/2022,42.86,17385310,43.58,43.83,42.66
7/11/2022,43.25,15279570,43.34,43.68,43.07
7/8/2022,43.39,11816980,43.03,43.61,42.94
7/7/2022,43.22,22316700,42.88,43.36,42.79
7/6/2022,42.69,17250440,42.12,42.93,42.01
7/5/2022,41.96,24448140,41.52,41.97,40.82
7/1/2022,42.60,24338550,42.52,42.70,41.57